"Olabisi, Ronke","Generally inconsiderate and sometimes rude towards me and fellow classmates. Was warned about this from other students who had classes with her too in the past, but she was the only one teaching the class at the time. No choice for us there. Choose wisely if you can. | I realized that Biomedical Engineering is a biology major rather than an engineering major while taking her course. | It was one of her first courses at UCI; the formatting of the course was off because it was made for in person (the class being online also contributed negatively to this). But the professor is really nice and is trying her best in these odd times. One negative is that she does not seem to accommodate for COVID-related problems during these times."
"Hacihaliloglu, Ilker","Excellent professor. Very understandable and straight-forward, and very willing to help with anything class-related or curiosity-related. In my experience (masters student), one of the best BME professors at Rutgers. | Prof Hacihaliloglu was great when I had him for Intro to Biomedical Engineering. The lectures were interesting, well organized, and concise. Tested on the main ideas, and he tells you what you should be taking home from the lectures. Def would take again."
"Shoane, George","Don't even bother taking this class, take it over the summer if you want to pass. | He should be ashamed of teaching this class. I really think that he doesn't speak English. It makes me so mad not caring about all his students failing. He is killing our hopes of becoming biomedical engineering, and the department won't do anything about it. He never responds to emails, and he doesn't care about any excuses. | Never cried about a class up until his. I questioned if BME is really the path I want. The exams are impossible to solve, and there are so many people who ruin the curves simply by cheating. The amount of tears I have shed in this class is insane. I even started questioning my existence. Avoid at all costs!!!!! | Shoane does not know how to teach this class. He gives us useless lectures but makes attendance required. To even have a chance of passing this class, you have to read the textbook word for word, it's crazy. For the curve, it's not based on class avg, but on the final avg. If you were on track for a B, but get the avg for the final, you get a C. | Worst professor I've had the test are lowkey impossible. If you can take it in the summer with a different professor. There is no point of showing up because you can' t even hear him anyways. And the homework takes actual years to complete. | AVOID AT ALL COSTS. With the most boring lectures you've ever seen combined with required attendance, taking a course with Shoane feels like cruel and unusual punishment. 80% of your grade is determined by the midterm and final. Do anything you can to avoid this professor, and if you're unlucky enough to end up with him, I wish you luck. | Worst class I have ever taken... the professor rambles on and repeats information but will barely cover the important information. He definitely has 10 year and teaches one class a semester. RUN from this professor, take it over the summer! The only way to learn in this class is to memorize the entire textbook. The averages are 30% with a curve. | Horrible, stay clear of this professor | absolute nightmare of a class | Do yourself a favor and take it in the summer with a different professor if you want to pass. | Do Not Take this class with Professor shoan, unless you are ready to memorize a textbook. | Horrible, avoid at all cost try taking it in the summer without Prof Shoan. His canavas class page is a mess, the lectures are terrible. The only way to do good in this class is by reading the textbook and straight out memorizing it. Pray you don't have genius classmates in your section who will ruin the curve. This class will make you cry | Professor Shoane's lectures were extremely boring and too fast-paced to retain information. The exams and quizzes required straight-up memorization of the course material and there was a LOT of material. The homework site was extremely expensive and the homework itself did not help me learn. Prof Shoane is not open to student feedback whatsoever. | His ""textbook"" is a compiled list of his unintelligible notes, which he makes you buy. No real reading material is given. Nice guy, but unless you have a direct link to his brain you won't understand anything he presents in class. If you're a grad student, try your best to not take his classes. | His lectures are not helpful at all, he only uploads selected slides on sakai. Attendance is mandatory. His 2 exams are ab 40% of the grade EACH so its only chance of getting a good grade in the class. Both in class and during remote instruction he doesnt care ab students learning, only cares ab making the exams/quiz cheat proof. limited resources. | Such a hard class simply because lectures are so hard to go through without flat lining. Homework is mediocre and inclass quiz is useless. His exams are extremely hard and curve is steep based on the class performance, hope someone dont ace anything like what happened in my class. Read text before, during and after class! Its tht hard n i tutor a&p | This class was awesome with Prof Shoane. The lectures were thought provoking, and I retained a lot of what I learned. He's kinda monotone, which can put you to sleep if you're not interested in the type of material being taught. I enjoyed his class, I'd take it again if it didnt cost so much money. | He reviews no new info, just material taken from the textbook so lectures are boring. Do go to lecture though for attendance points and quizzes! Quizzes aren't really quizzes, just review questions gone over as a whole class. Exams are tough, must read the textbook thoroughly. This semester, an A on exams is a score of 75-100. | Professors like this should get fired. No reason the average on exams are 35% consistently. That's not teaching if the majority of your class passes due to a curve. That means you're doing something wrong as a professor. I get it if you want to make a few problems hard to challenge students to think critically, but Shoane is ridiculous. | That class was rough. I wouldn't recommend his class but he is the only person that teaches EEE at the moment so you have to grit and bear it... Attendance is mandatory and he hates cellphones. Only advice is to make a friend to study and do the homework with... | The professor is really nice but he tends to challenge the students in a clever way that way you learn on your own. You will fail the class if u are dumb and not up to the challenge, but you will learn a lot if you do accept it. Tests are hard and the hw sol aren't available so the class is a hard one... only advised to A students | Probably the worst professor I've ever had. He is boring, confusing, unfair, and unreasonable. His voice is quite monotonous and he teaches things in roundabout ways that will confuse even students who understand the material. The exams are hard and the grading is harder. Electrical engineering isn't his field area and it shows. | Terrible. Worst teacher I've ever had. He doesn't care about the students. | Attendance is mandatory. He never use textbook. He has his own world. | So Boring. Extremely Hard Exams. Really big curves. | One of the worst teachers that I've encountered at Rutgers Engineering. Shoane has us use a completely different textbook than the one used for homework and exams, making studying nearly impossible. Lectures are not sufficient to pass the class. Avoid this professor at all costs. | you really dont want to take a class with him. every one complaining about his teaching even the person who got the highest score. He speak english with good accent but in chinese grammer. you cant understand him and he is so lost !!! | Worst lecturer ever. Prints the book out word for word and shows it on a powerpoint, speaks in monotone, and attendance was part of the final grade. Extremely unwilling to go over grade break down at the end of the semester after unfair grading. | The exams are exactly the same as the previous year. He changed it this semester though so next semester might not be as easy. Great curve-- 75 for an A, 58 for B | DO NOT TAKE IT UNTIL AFTER CALC 4 (preferably alongside calc 5)!! If you do this, eee is a joke and SUCH an easy A. If you take it WITH calc4, you WILL NOT get higher than a C+ There's a second-order ODE on the midterm and an inverse Laplace on the final. Other than that, he's super nice but takes attendance and grades hw harsh, lab is easy | No Comments | Lectures are terrible. Just puts of transparencies of the book and reads through it. No cheat sheets on exams, too much to memorize. The only good thing about this class was the curve, since everyone did so bad. You should avoid this guy if there is any possible way you can. | Drop this class while you still can."
"Parekkadan, Biju","He has issues with timing and often goes overtime and tries to make the material interesting. It was hard to understand the material and he isn't the best lecturer, but the curve was generous. | One of the worst professors. Doesn't explain the material well enough to understand, yet tests you using extremely hard technical questions which are completely unlike any examples in class. caught a few students cheating and instead of punishing them, punishes the whole class by changing the final 2 DAYS b4 we took it. Rude to students afterwards | Very patient, always listens to feedback, one of the best professors in the BME department in my opinion. Class is very hard but don't let it discourage you, everything clicks once you put in the work. He wants everyone to get an A and it really shows in his work. | Professor Parekkadan wants all the students to learn yet expects everyone to be as smart as he is and just get it when most of this material has never come across many of the students before. He also makes Quizzes 30% of your grade which is the same as tests ( also 30% of your grades ). Quizzes are extremely difficult and you'll score poorly on it. | He gave open textbook exams and quizzes. Very lenient. Ready to adapt. He wants everyone to get an A and it shows in his work | Placed the entire worth of his class on TopHat. Class participation and attendance through TopHat matter A LOT! His exams are pretty difficult, so much so that he had to drop the first exam grades from counting towards our final grade in the course since the averages were so low. A very smart guy but lectures are dry and he's not a great professor."
"Labazzo, Kristen","Easily one of the best professors at Rutgers. Explains everything and really cares about her students ! | She's a great professor! The exams are fair and she grades very leniently. You also learn a great deal in the class. Her ""mom jokes"" are great. She provides the slides which are very detailed and helpful. 100% the best professor in the BME department at Rutgers. | God bless. She is incredible. She is a fair grader and gives so many opportunities to succeed in the classroom. There are iclicker attendance and some questions per each lecture, but if you pay attention, you should be more than fine. She does have a lot of reading for each lecture, but if you study it, you will be fine for the exam. Shes the best! | She's the nicest lady in the department. I didn't want to take the class because I wasn't really interested in the bio-materials track. Did okay on 1st exam, bombed the second one. I went to talk to her in person and thought she'd ask me to drop the class, but SHE DIDN'T. She was really helpful and told me what I should do to pass! 100% Recommend! | The class itself can be boring, but Dr. Labazzo makes an effort to make the material interesting. She shares her research, brings in guest speakers, and brings in examples of biomaterials. She is funny, helpful, responds quickly to emails. Her exams are straightforward and come directly from the slides."
"Pierce, Mark","Clear, concise material and grading systems. Office Hours are very helpful for completing/understanding the homework. Exams are extremely fair and cover exactly what we were taught. Final Project is very straightforward, easily one of my favorite BME classes so far at Rutgers. | Everythings been said already, but does not grade tests fairly as there is low to none feedback on them. Hard homeworks and does not try to give any help towards the end of the course for those who may really need it. | Graded on 4 homeworks (35%), mid-term and final exams (20% each, open notes), project (20%), attendance (5%). Cut-offs (A,B+,B,C+,C,D) at 84%, 78%, 71%, 65%, 60%, 45%. Class mean 73.9%. Exam/homework solutions posted, past practice exams posted, lecture slides posted. Easy to do well if you take it seriously, easy to do badly if you don't. | Few tests and confusing long lectures. Does not give back much feedback on tests and seems to grade them based on whether you show up to class or not, not if you actually did well on the exams. | Professor Pierce will educate you well on the topic he's teaching. He knows his material thoroughly, but he paces his way through the lecture material so you can understand it. He's a tough but fair grader, you'll have to earn every point. If you listen in class and take notes you'll do fine. His accent is the verbal equivalent of smooth jazz | Great professor, reiterates in the lectures what's important for exams which makes them easy to prepare for. You are required to think analytically and not just regurgitate information mindlessly which some people below may have expected. There are few homework assignments that are of similar format to the exams so you know what to expect. | Does not care about the students as the tests have no type of feedback on them. Only 2 tests and a project determine your grade, if u cant make a few classes youre basically down to a C already. Very hard to talk to and no type of extra credit no matter what the situation is. | Makes it hard to do well cause theres too much emphasis on exams while there is only 2 exams. If he knows your name it can be good but more likely to be bad because he will not give any help or lehway in your final grade. As a senior try to avoid global health because it could potentially ruin your chances of getting a job after the grading. | Is generally very clear and speaks in a way that is engaging. Homework assignments are easy. Tests require little additional preparation other than attending lecture or a brief review of the material. Nice guy always willing to answer questions or correct mistakes. | Cares for his students. Tests are long but exactly what should be expected based on practice exams. Helpful in office hours. Really cool guy overall!"
"Berthiaume, Francois","With the transition to online classes, he has been working very hard to make everything very organized and if he makes a mistake he is not afraid to give back points. He is a decent lecturer and provides quizzes with each online lecture to make sure you are on track. Class average is curved to a B which is fair considering the exam averages are low | The class has about 12 labs, run by a different TA for each week. The lectures before the labs were very dry. Make sure you read the lab manuals to complete lab reports. The final exam was extremely difficult and no one expected it. Know everything about everything if you want to do well on the final and get an A in the class. | A rough prof to take, wouldn't want to take class with him again, cynical. | Very boring professor who seems to drag on lecture as everyone falls asleep. Does not seem to care about students or their situations and is not very helpful in person individually either. Would try to take another professor. | The course in general is pretty bad. Berthiaume doesn't seem to care much and doesn't explain things particularly well. The exams were difficult. | very bad at explaining the material that he presents in the slides and on the board. Very monotone, and even sitting in the front row, you can almost fall asleep and the class seems like eternity. If you can do the homeworks 100% then you will do very well on the exam. | He goes over the material in lecture pretty well. His test was pretty much from the lecture, but the last question was worth 40 points and combined almost all the concepts he taught. He's kinda boring, but pay attention and make sure you know the homework. That should at least get you a 70 on the test. Intro to BME is curved so much it's funny."
"Shreiber, David","Very engaging lecturer and a very fair grader. No one assignment or test is very punishing, so you have a lot of opportunities to improve your grade. The term project is a really good experience, as well as replacing a Final Exam. Pay attention in lectures and you should do well. | Really good, cares about his students. Homework is really hard, and when it's assigned is often a lot harder than the lecture, but it's not weighted heavily and you end up learning a lot. | Prof Shreiber was great, the class format for Tissue Eng II was unusual but he made it work. He's really passionate about BME, and wants to prepare you for the outside world. He's funny, engaging, but serious about making sure you know your stuff. He's flexible with how things are done in class too. | easily the BEST professor I've had at Rutgers so far. you'll definitely get a lot more out of the class than just biomechanics w/ shreiber. definitely go out of your way to have him. no regrets, hope he always stays the same | Amazing professor!! one of the best to teach in engineering.. very prepared.. knows his material on the back of his head.. no curve.. but notices ppl who deserves an A. extremely helpful. makes sure every student putting effort understands material... best prof ever!!! | The material is easy, but it is very boring. Exams can be tricky at times, but overall they are pretty easy. He doesn't give a big curve and does not care if that means only giving out a few A's. He is a tricky guy... makes mistakes in his lecture notes on purpose to catch people who don't go to class. The project can save your grade though. | A bit of a descriminaTOR... and i'm not talking grades | gives too much work and is cheap with grades | decent professor....easy material....project need a bit of work....hard to get an A | No Comments"
"Drzewiecki, Gary","Advanced devices lab must be the easiest departmental elective for BME. Dr. D is awesome, very lenient, and will let you submit lab reports near the end of the semester if need be. Quizzes are very easy, and lab reports, while individual, are only due every other week, giving you lots of time to work on them. Would HIGHLY recommend taking 470! | Nice guy. Horrible professor. I'm sure he's good at research, so maybe he should stick to that. I've had him for Devices and in the past, Systems Phys. Both times, I learned nothing, and in fact knew less coming out of lecture than I did going into it. | Dr.D's class was really hard to follow, I'd say read the textbook instead but you'll have an even harder time there. He's a really nice, and polite guy, and willing to help you if you're struggling, but his teaching methods are lacking. Going through the lectures on your own may yield more. If he was more engaging and better paced he'd be fantastic | System physiology with Dr. D is not too hard, but you won't learn much. He's a nice guy but he really just can't teach. His homework assignments are pretty easy, but the multiple choice exams can be tricky. Overall not a terrible class; just read the book and you'll be fine. | Very nice man, but should not be teaching any more. Provides incorrect material to the class and then puts it on the tests. Only way to survive is to read the book and teach yourself because he won't teach you anything without confusing you more | REALLY nice guy. Teaching abilities are so-so but he's really helpful! Tests are easy and he really knows what he's talking about. Extremely helpful in lab as well! | Nice man. Scans pages of the book and puts on screen in front of classroom and reads from them. Had to basically teach myself from the book. No point in going to class unless attendence is taken."
"Sy, Jay","He's basically too demanding for a 1 credit course. There's a lot of work to be done each week and he grades harshly. In the other engineering disciplines, SD lecture is a ""show up and get an A class"", but here it is far from. Both small and large groups have the same expectations, so if you happen to be in a small group you will need to do more. | Professor Sy is really smart, and his lectures are quality. You'll learn a lot in his class about the engineering thought process, steps to take to start and complete a project, and considerations along the way. That said, he gives SO. MUCH. WORK. I worked harder in his 1 credit class than I have in 4 credit classes, it was inordinate, honestly."
