"Hughes, John","He is one of the worst professors I have ever had which is a shame because this class is required. No one has any idea of what our grades are. He never graded any of our homework and assigned the class a 10-page research paper with VERY little guidance on what he was looking for. Great scientist, really knows his stuff but a horrible professor. | Physics 442 with Hughes is a nightmare. He didn't grade our homework for entire month - a whole month!! And then only decided to give us solutions to that homework less than a week before a midterm. Almost the entire class was completely lost because the course was being taught like a grad level course - do not take this class with him. Just don't. | Great guy, tries to make the material as interesting as possible. Although you only need an 80 for an A, you will have to put in quite a bit of work to get that. The clicker quizzes are pretty difficult. If you're just trying to fulfill a NS requirement, I wouldn't take this class. | Very nice guy. 80+ was an A. Tests aren't hard, and testbanks are online (for most of questions). iClickr quizzes on second of the two weekly lectures, so you can skip first. Puts up lectures online so not mandatory to go to first one. iClicker quizzes are kinda hard but he drops two lowest ones. Easy class to hit Nat. Sci req. | Solid professor. Make sure you make it to class on Fridays for the clicker quizzes, and pay attention/do the readings. The midterm isn't crazy difficulty, just make sure you do some half decent studying. Professor is cool, helpful, and isn't trying to make you fail. Not a bad class for an A/meet the Nat. Sci. req, just apply yourself a bit. | He is such a lazy professor, but explains things well. His lectures are really boring, and his quizzes are super easy if you just read the lectures. There is a quiz almost every week, but they're only 5 questions and most of them are easy. The curve for the class is insane. Easy A. Take the class with him!! | Awesome professor - very helpful and has such an incredible depth of knowledge in all areas of Astrophysics. Homeworks were fairly difficult, exams not so much. That being said, I have learned more in this class than I thought was possible. Would absolutely take more classes with him or at the very least recommend others to do so. | Very fair when it comes to tests, be sure to review his powerpoint slides. I-clicker quizzes come from the reading and not so much from lectures. Gives extra credit and curves. Fairly chill about attendance. Always willing to pause lecturing to answer students' questions. Highly recommend him. | Great professor. Material gets extremely difficult at the end, but office hours are helpful and will keep you afloat. Prof. Hughes is a cool guy too. A few tasteful jokes here and there and lectures aren't boring for those who want to stay and do well on quizzes and exams. I recommend this professor for any course. | sometimes condesending. exams are MC but very tricky. need to know stupid details. 80+ was an A but hard to get even an 80. read the book. his lectures dont really help but he gives iclicker quizzes every week so u have to keep up with reading. with some work an A is attainable | Great teacher"
"Jerez, Andres","This man is an absolutely terrible recitation instructor. On top of failing to review useful concepts with the class before assigning timed in-class work, he acted disinterested when leading the class and refused to give any useful responses to the questions we asked. What a pompous and arrogant man. Avoid at all costs or your grades will suffer. | If you have good memory this class is an easy A, otherwise, you would have to work hard. 2 exams but both are monitored so you cannot lookup answers. Homework assignments are pretty easy - just 10 questions per week. Overall he is good at what he teaches but the exams are very specific and you would have to memorize his lecture slides to get an A. | Okay, he knows what he's talking about. His lectures are just super dis-engaging and he only grades off of weekly homework quizzes (everything is on quizlet)- and two exams. His class isn't particularly hard but yeah- its meh- also would like to mention I took his class during covid so it was online. | The class is really interesting and Jerez is very passionate about it. He assigns about 1 homework every week and it's only 10 questions and pretty easy. He records all of his lectures and his slides are super easy to follow so attendance is not mandatory. One midterm and one final and you should get a solid grade if you memorize the slides. | Attempted to force proctortrack instead of attempting to find other ways to give exams, whether that be making it more comprehensive than pure memorization or even scrapping exams and doing collaborative projects that will demonstrate understanding. Exam was needlessly specific and just tested how well you could memorize, not what you learned | Professor Jerez is a good and caring professor. He is very interested in the topic of astronomy. If you ask him questions related to astronomy, he will be able to answer them very good and throughly. The topics that are taught in the class are very interesting to learn. | Professor Jerez is a good professor. He can answer any questions that you have anything related to astronomy. He is a caring professor. | Lectures were fine, but the exams were very detailed, and at times contained information one might not have from the lecture notes. Very easy to do poor on the exams as they are completely different than the homework assignments and contained random questions. Pretty much a hit or miss. | Hes a good guy, fun to listen to. I enjoyed the lectures alot, but his exams were miserable and not worth it. They werent hard, per se, but very specific about very random details. It was hard for me because Im big on understanding things rather than memorizing random facts and distances. Overall I was disappointed in the class. | Professor Jerez and I would often talk after class about the beauty of astronomy. He was very good at answering my many questions in class and I could tell he cared deeply about the subject. It was a great pleasure to have him as a professor. If you are truly interested in astronomy and engage in thought of any kind I urge you to take this class. | He is a very nice and funny prof. His exams are a bit difficult, but if you study, you will basically get an A. Also, and A is 85 and above, so it isn't too difficult to get an A. I do recommend that you go to the lectures because he explains things really well. | You must attend every lecture b/c he doesn't post his slides. Get ready to take pics of his slides if you're not a fast writer/typer. Easy homework, fair exam. Gives a good curve at the end. You'll get use to his accent. Overall, a nice professor. | Lectures are long, the most helpful study material is the book, which is clear and understandable. Homework every week but they're brief. The two exams are only have thirty questions each which is rough. Grading matrix is generous though and I ended up with a B despite getting 66.66 percent on both exams. Professor Jerez is excellent to talk to tho | Im taking this class as a STEM major even though the syllabus states it's for humanities majors. I disagree, I'm not advanced enough for the upper level astrophysics courses. This course is great, you scratch the surface on some really cool topics. It's a good if you want an interesting easy A, Jerez is hilarious & I look forward to this class a lo | One of the best Profs. I've had. | I have never seen such a disorganized professor in all my life. Took 40 minutes to go through syllabus, EXTREMELY heavy accent, and his slides are mostly pictures he took in his backyard. Made me not want to take this class. | Professor Jerez has his heart in the right place and wants to make class enjoyable, but his lectures tend to be dull sometimes. The book isn't expensive on amazon and his lectures follow the book, so read along and you'll be fine. Homework is a grade booster. Careful with the tests, though. Study for those. Not an effortless A, but a pretty easy B! | He goes right by the textbook, which is good in this class because he has a heavy accent so he is hard to understand at times. But, following along in the textbook is helpful. The homework is definitely a grade booster as well. | Professor Jerez is a great professor. He is a very nice guy, who tries his hardest to make the material digestible, interactive, and largely entertaining for his students. He's got a dry sense of humor. Go to class, the lectures aren't posted online. You shouldn't need to do much reading if you just show up to the lectures. I highly recommend him. | I took his summer class, so four hour lectures (he let us take 2 breaks a class) He knows his stuff and he's a very nice person. You need to make sure you copy down notes very quickly as he doesn't put his powerpoints online. Quizzes aren't too hard but not an easy A. Never used the book, got an A. Attendance is mandatory, because reading quizzes! | I don't know what to make of this class. I took it to get an A because it seemed easy and ended up with a C+, so this class ended up hurting me when I thought for sure that it would help me. Sure, the HW is easy since you can just find the answers online but the tests are extremely difficult and he doesn't really even tell you what to study. | His class is not as easy as it seems. The lectures see long and boring, but you could read the textbook to get the information. The homework is all on Quizlet so it's easy to get 100% on that, but the 2 tests cover a lot of material and are very hard if you don't pay attention. I'd say it's an easy B, but don't take if you want an effortless A | If you pay attention and study notes/Quizlet questions, this class is probably an easy A. If you're like me and come to lectures and don't pay attention, you can still end up with a B. His grading scale helps students. Would recommend for core curriculum. | Attended his four hour lecture sessions during the summer - EASY class. Yes, his lectures are boring, but the content of his quizzes and exams are so easy I never even cared. He doesn't even care if you show up late or at all in most cases. Only read the textbook if you're not paying attention during lecture - you'll still be fine! | Grea Professor; really nice and very willing to explain material. Best if you go to class, since he will be more likely to help you out this way if you need it, but it is not mandatory to pass. He has a slight accent, but it is not that noticeable. Material is very boring in lectures, but it sticks to textbook. Do well on your tests, and ur good."
"Cochran, Geraldine","Cochran is an amazing teacher who is very helpful to all students no matter the time or need. She is a clear grader and is very passionate about student learning and advancement. Recitation is of the utmost importance and will guide you through the class. Overall a great teacher who I wish to take again. | Very nice, not difficult. 10/10 | Professor Cochran is a great teacher and also pretty funny lol. As for the class, recitation is where most of the learning happens, because in the lecture it's mostly her just reviewing the main ideas and topics. | Cochran is a godsend, she is by far the best professor I've had. She made a relatively difficult class easy with great lectures, great exams, and plenty of opportunities to improve your grades if you are struggling. My only complaint is that the HW is graded for correctness with limited tries, but besides that this class was perfect | She was the best professor Ive ever had. She taught well and clear. There are opportunities for extra credit and her exams arent hard as long as you do the workshops and homeworks. 10/10 | Honestly, she's the best professor I had at Rutgers so far. After, our first exam majority of the class failed and although she didn't curve the exam she gave everyone another chance to retake the test. She said “If major of a class fails an exam I always say it's the professors fault” She wants you to succeed! | I had Prof Cochran for both Physics 115 and 116. She is still amazing. Highly recommend her to anyone taking physics. | If you are worried about Dr. Cochran being your professor as a student taking any of her classes and are looking her up now - please don't be. She's amazing. She personally reaches out to students who have trouble and does everything possible to make sure you pass as long as you do your assignments. Homework 2x a week online & workshop 2x a week. | Dr. Cochran is an absolutely fantastic professor. She is extremely caring and accommodating to everyone in the class. Her class is challenging, but she makes it fair and helps you as much as she can. She adapted the class to online learning very well. | Very good professor | I absolutely loved Dr. Cochran. She is witty and with it! She tells you exactly what she is looking for and doesn't sugar coat anything. | Love Dr. Cochran!!!! Amazing professor who is really passionate about what she teaches and brings in unique points of view into our discussions. Really understanding of our issues as students and tries to make the class as fun as possible. There are lots of readings in the class, but even if you skim them, just make sure to contribute to discussion | Although you will do more reading in this class than you will ever do in your life, Dr. Cochran is a great professor. She really wants to help all her students and will go out of her way to help you if you ask her to."
"Lath, Amitabh","If you love physics, maybe he'd be great, but for pharmacy students who have never taken physics before, it was hard to connect his lectures and the exam material. | I have never hated a professor until this one. I wasted hours of my life doing everything he told me only to watch videos for the final and having it being my best score out of all three exams. For all future pharmacy students watch organic chem tutor's physic videos and pray to your god because this guy will not help you. | Don't be fooled by the title ""Elements of Physics"" because two semesters worth of physics crammed into a single semester is a living hell, especially when the professor breezes through the slides with minimal explanation and shames students for asking questions. Aside from that, he doesn't even know the answers to his own questions on exams. | Physics is hard itself, but he makes it even worse. Went to every lecture and struggled through his class. I went to his office hours too and he straight up asked me if I have no common sense. There are cheat sheets for each exam, but he doesn't teach how to work through problems in lecture and expects you to learn how yourself, so nothing helps. | He is a very poor teacher, with an extremely smug and passive aggressive manner when asked questions. It is extremely disappointing for pharmacy students taking this class as a bonus, and we get a teacher with no understanding for the students. In lectures, he puts up a couple of demonstrations and then goes on to just read off the PowerPoint! 0/10 | Im not really sure what these people are talking about but this was one of the most boring, most painful, and most difficult class I have ever taken in my entire life. We're pharmacy students for christ sake, we literally couldn't care any less about physics, why make the test so hard that no one gets a 100 and the average is 50. smh x 1000!! | He is actually the best professor I've ever had for physics. He has a way of making concepts understood during lecture that I didn't think was possible. He does go pretty fast so read the textbook before class and also he claims not to curve the class, but he's also ok with everyone in the class getting an A and his hw and quizzes are easy. | This class was extremely difficult, and if it wasn't for the very generous final curve I would have failed that class. He is a relatively good lecturer, but often gets impatient if you ask too many questions. | Attendance isn't necessarily mandatory but going to class helps your understanding of astronomy more. He says things in class that aren't always in the book or on his slides that do show up on exams. Gives practice exams that are exactly like the midterm and final. He makes class enjoyable once he makes connections with his students. Fun class. | Honestly, astronomy made no sense to me. I got a D on the midterm and decided to attend class more and take notes. The notes barely helped but the practice final was exactly like the real final (not for the midterm though) and I got a B on the final. got 100s on the homeworks and ended the class with an A. Easy grader. | I'm a political science and history major, and have never had any proclivity for the hard sciences. But Lath is so passionate about teaching physics, and so good at it, that he managed to make physics far more interesting than many of my major courses. He's also hilariously sarcastic and goes on educational rants. | Professor Lath is amazing. Homework and the midterm as well as the midterm didn't seem to account for much. He truly wants all of his students to know and appreciate physics more and he wants everyone to do well. He comes across as snarky but he's the best. Please go see him, he might seem scary but he is a good person at heart and really cares. | Passionate about Physics 106. Great class, fun, informative, not difficult, easy to study for. Do the homework and labs and clickers and you'll be fine. Nice guy would can intelligently teach you physics in ways you can clearly understand. | Had him for Quantum&Atomic Physics. Simplified the concepts and made himself available for office help. Exams are straight forward if you attend class and pay attention to his examples. He can come off as sarcastic and condescending, but this is just his sense of humor, he is very willing to help you succeed. | Wonderful professor. Yes, very sarcastic at times. Sensitive individuals may feel insulted at times, but he doesn't mean anything by it. SUPER good at simplifying concepts, SUPER willing to help outside of class. Always says his wish is for every student to ace the course. | Yes, he can be very sarcastic and straight forward at times. That being said, he is a fantastic professor and an all around nice guy. I would recommend anyone to take all of the classes he teaches. | Prof Lath is such a great professor. Thermo is one of the hardest physics classes you can take as an undergrad and he was very aware of that. He makes himself available to his students. I highly recommend office hours he is very helpful not just with homework questions. I highly recommend him to anyone at RU. | I had him for intermediate quantum. If you have any problems see him in office hours, he is really nice and understanding. He is the type of professor that wants everyone to get an A. | The Greenhouse Effect class itself is pretty easy but Professor Lath makes the experience comically odd. He seems to have a vendetta against solar panels and every lecture seems to revert back to the fact that solar panels are so awful. Homeworks are pretty easy, especially if you take the class with someone. Exams are short and multiple choice. | Made mechanics understandable. Some hard material, but doable and he was always willing to help. Take home exams too which was a plus!!!!! | GREAT professor! The class is a little hard, but he makes everything really understandable, and really helps with everything! | Only take if you are very interested in the subject if your not choose a diff class! Lath came off to be arrogant and not so nice when you asked him questions. Greenhouse effect was basically physics mixed with liberal views on ""Global Warming"". Grade consisted of 2 exams, 1 cumulative final and a couple of homework assignments. Overall alright.... | I took his class with Prof. Lath after failing with a different professor. So with experience, I can say Lath is an excellent professor. | Lath, thank you for your support and your brilliance! | Lath is awsome! He is so helpful and really wants you to do well. He was my recitation instructor for Physics 203 and helped me improve so much. I went from a 53 on the first exam to a 93 on the second. I recommend him if you are willing to work hard and show that you want to do well. He is really there to help you. | hes ok | I hated physics before coming into this class, and I really struggled through 271, but Prof Lath was really helpful. I learned a lot, and I even enjoyed coming to lecture. He's a great guy, so as long as you're willing to learn the material, you'll do fine in his class. | Amit's a great teacher. His leactures are great and the class size is small. He really gets you to learn the material. I recomendation to anyone who is wiling to do the work. Grading is fair. I got an A. Best physics teacher... | Very matter of fact. | Amit's a good guy. Great lecturer, especially when he acts like an electromagnetic wave and walks around the lecture hall lol. Homeworks aren't too bad. Know your stuff and you'll do fine. Grading is definitely fair. I learned a lot in these courses, I feel he did a very thorough job. | Horrible! Have to re-take the course again. went on grad school interview and couldn't answer basic questions.tells students not to worry about handing in hw's, and grades - WATCH OUT. does matter. he grades based on what everyone else gets. take course in chem depart. | I liked him, he wasn't terrific but teaches well and I got A's in both, you just have to know what you are doing. | Decent teacher. Final exams count for sooooooooo much more than the insanely difficult noncumulative exams. | awesome prof...you guys prolly just couldn't cut it. | This class is ridiculously hard, even as a physics major, he made me want to change my major. Calc one definitely needs to be a prereq, not a coreq. He is not very nice or helpful...impossible tests | He's good as a lecturer, but he dosen't answer questions well. He comes off as consieted. | Nuclear physics. Doesn't care. Just there to put in time for tenure. Gave take home exam, most students copied from one another. Those who did not, totally destroyed their grade & did not forwarn them. SHould be fired. | Not the best teacher - not especially clear. when i went to his office hours he was very impatient and made me feel like an idiot. | Fails to give students a qualitative understanding of material. Never explains phenomena with physics- always math. often gives the impression that his own understanding of the material is not deep. | Smart teacher, does try to teach his students well, very confident, tests are hard, but course should be ok. | Don't know, I found his tests easy but none of my friends did. Basically, you've got to either have prior knowledge or really pay attention and do your work. It's not easy but it's not unreasonable either. | No Comments"
"Friedan, Daniel","Honestly, I'm sure Dr. Friedan is an intelligent man, and a nice guy too, but as a lecturer, he is grossly average. I took the class online during the COVID-19 pandemic, but regardless, the class wasn't too tough as I took physics in high school. However, the exams were nothing like the homework or quizzes, and requires a lot of outside studying. | He's okay. I took Physics 123 during Covid, so the classes were online. It was really hard to follow him. He would go through the math really fast and it was hard to understand what was going on. I tired so hard to follow him, but I just got lost five minutes in. The homework is so hard too, I don't know how I did it. It wasn't really taught well. | Overall, I think that Mr. Friedan is a great professor. I knows his stuff well, and as a result, explains concepts very well. All in all, I enjoyed attending his lectures and recitations. | Friedan is the reason why I would ace Croft's exams. More often than not, I would get lost during lecture, but Friedan would always clear everything up during recitation. Not only that, but he is always available during office hours and is MORE than willing to help. However, his quizzes are not easy, and you need to study for them. | Daniel Friedan is a cool guy but he's not that great of a TA. His handwriting is absolutely illegible can't even understand the physics bc of how fast and sloppy he writes and talks! Quizzes are given weekly in recitation and are difficult. You really have to self-teach. | Professor Friedan is the man. The sole reason I passed Physics 203 at RU. He is a recitation TA and he makes you think about the processes for a problem...he doesn't let you just plug in numbers to formulas. He wants his students to understand the concepts. If possible, try to go to his office hours! You won't be sorry!"
"Zamick, Larry","With the way this class is setup, it was great having Larry to guide you. He is so nice and helpful. | he's a nice guy. he doesn't teach anything cause thats the way the class is setup. however, as long as you really understand the concepts, he'll go easy on you cause he can tell you've put in some efforts. he's very fair. the only thing against you in this class is time. | This course sucks. The books suck, too. You don't learn anything, and he doesn't teach. Enjoy! | No Comments"
"Diaconescu, Duiliu","I got a 36 on the final and still passed with a B. Youll be fine if you do the homeworks and show up to recitation, great prof but tests made 0 sense-studying the material probably wont help too much but you get to make a formula sheet for exams. | Nice and understanding person with well-respected research but not made for teaching. Lectures were useless to me. Webassigns took hours but were helpful. To do well, read the textbook, go over the slides, do recommended book problems (make sure you understand them!). Before exams, redo hard book and Webassign problem, review concepts, pract. exams | He gives terrible lectures. The WebAssign homework doesn't help at all. The practice exams have many mistakes in them. You could read the textbook to study for exams, but the textbook doesn't give nearly enough information. So good luck passing this class. Fortunately, there is a big curve. | He just isn't a great teacher. He focuses on kinematics and then tests you on weird gas laws and torque. Curve is really large. Honestly, this class is a waste of time. Avoid it if you can. Also, I got a 50 on the final and finished with an A. Just goes to show you how the tests don't line up with the lectures. | I'm a very passionate physics major, but his lectures often bored me. The iClicker questions were pretty easy, but he never shows the answer distributions. His tests were all multiple choice, so there was no chance at partial credit. If I hadn't taken AP physics in high school, I would have really struggled in his class. Great guy, bad teacher. | A really nice guy and clearly very passionate about physics and gives great curves. On the other hand, he isn't great at communicating some of the more difficult concepts, possibly because he never had to struggle to understand them. Great demonstrations. | Professor Diaconescu is a very smart person, but he lacks the ability to propagate the information appropriately to his students. He is very helpful and will try to set up office hours for you. Also, if you get an answer right in his class, he will give you a bright smile that will light up your day. | You get relatively easy recitation quizzes and very easy iClickers. Then, all hell breaks loose when he throws you his super theoretical physics questions that have no real world application with no explanation. The one upside is the effort he puts into answering questions during exams. He leaps through the lecture hall just to get to you. | He's a sweet man, there's a great curve but he can not explain concepts clearly and for someone like me with only some physics background from high school this class was tough. there is no consistency with recitation quizzes, suggested problems and actual exams. Hardest class of the semester hands down. | very hard to understand and tests are difficult, but he curves very well. it's hard to not get an A and next to impossible to get lower than a B. attendance is i-clicker and he counts 75% attendance as full credit. | Horrible at explaining material. Overcomplicates lessons. You're better off skipping class and just reading the textbook. However, he is a master at the time derivative."
"Chandra, Premala","Professor Chandra did not teach well and instead I found myself self-learning everything. Same with majority of my peers. I read the textbook and took notes but since physics is such a hands-on course I found myself extremely lost. At the end of the semester I was less than a point from an A for my final grade but there was no curve | She's weirdly obsessed with Dave so you will watch some of his videos now and then. Overall, the professor wasn't the best in terms of explaining material so you will be self-teaching most of the info. However, she was caring in terms of asking the students for feedback. Participation is mandatory since there ARE clicker questions. | Attendance is taken by iClicker, which counts for a grade so you have to go to class. Zooms through slides and worked examples | she's rlly the sweetest human. she is rlly patient and is super understanding. she tries her best to answer all questions. read the textbook or go thro lecture notes b4 class. also do lots of problems b4 exams for practice. if u actually study you will get a decent grade. there r iclicker questions so attend class. | Really cares about the success of her students, although, her questions in class are much more rudimentary than the exam questions. | She goes through slides in 2 seconds and then gets mad when we do not understand it. Many times she got the problems wrong too. Very nice but cannot teach. | Premi is terrible plain and simple. Her favorite quote, ""Would you like to come up and teach?"" should be met with a resounding ""Yes"" from the entire class as my dog could do a better job teaching, if that's even how you can describe whatever she is attempting to do at the front of the room. Avoid at all costs. | Relatively easy class, but you need to have taken physics before. If not, all the information will fly over your head. Spends too much time complaining about how students are incompetent and talk too much, but could use that time for lecturing. Only reason I did well is because I've taken physics before. | Terrible excuse of a professor. Doesnt teach anything, just speeds through the PowerPoint (5 slides per sec) and then blames us for not understanding the material. If you even sneeze or blink too loudly, she will stop the class and ask if you can teach (you probably can). Spends more time trying to discipline us like high school students. | Gets confused herself about the material she is teaching and stops class whenever people are talking whether they are whispering or not. Proceeds to waste more time by trying get them to teach the material in an attempt to humiliate them and put them on the spot. | Easy grader and easy class. Gets very petty about people talking during class yet spends more time stopping class than actually teaching, also doesn't really know her material. | It was a very eye-opening class since it was about both the science and a little bit about the politics of global warming. VERY easy, 2 midterms (15 questions each) and 1 final (30 questions), hws are simple, uses iclickers as a proxy for attendance. And shes very nice too, always stated her faith and hope in our generation. | greenhouse effect is horrible. dont take it. she doesnt teach. maybe because it was her first semester teaching it. horrible!!!!! | She subbed for my physics professor a couple of times, and each time she was so irritating. In the beginning I liked her because she wrote on the board and tried to explain things more in depth than the ppt. However, she constantly goes on rants about people talking and wastes so much of class time doing so. It's very counter-productive. | Phenomenal recitation instructor. Everything I learned in Analytical Physics IIA was because of Premi. Goes over the material very well and quizzes are easy too. | Do your homework, go to office hours. Great intro to Solid State. Keeps us up-to-date with latest findings in physics journals | One of the best teachers I have had at rutgers. There is no reason not to do well in this class she will help you as much as she can. I studied hard and went to office hours and got an A | what an awesome teacher! the lectures were kind of boring, i admit. but you can tell that she wants everyone to do well and will help out in any way she can for that to happen. you can get a good grade if u just go over all the homeworks. take this class!! | Check back with me later. I just started the class and I like what I see. | What a great woman. I had her for modern physics and she made it a wonderful class. | I would have been screwed in physics (not the best of lecturers that I had), had I not had her for recitation. Extremely articulate, organized, and professional. Extremely helpful. She makes concepts extrememly clear. I was extremely lucky to have her. | She is awesome! Super helpful and very intelligent. Other people took this class with other professors and hated it...but everyone in my class loved her! Got an ""A"" in what otherwise would have been my most difficult class."
"Kloet, Willem","Professor Kloet is such a sweet professor. He is enthusiastic and gives demonstrations during class on the concepts. The grading isn't harsh and has a good curve. He is very approachable and wants everyone to do well. He is well respected by the students and his lecture notes are available online and cover everything you are expected to know. | Professor Kloet is a great professor. His notes are helpful as well as his lectures with demonstrations of physics concepts. This class is a pretty easy A with a heavy curve. It is intended as a basic physics course for pharmacy students and Kloet was a great person all around. | Kloet is the type of guy who definitely knows physics but can't teach physics. He teaches the pharmacy section so people do well simply because they are smart and put in the extra effort outside of class to do well, not because he can teach. He doesn't project his voice and can't see past the 3rd row for questions. There is about a 7-10 point curve | Prof. Wim Kloet was the best physics TA anyone could ask for physics recitation.. He's so kind and helpful..does an awesome job explaining the concepts taught in lecture and his recitation quizzes are very fair. He has an accent but its not too bad. Overall, he's awesome. Try to get in his recitation section if you can for 204. You won't regret it! | Prof. Kloet is the best teacher ever! He is the most adorable and sweetest man!! | An extremely helpful and nice professor. He explains the material well and is always willing to answer a question. A pretty lenient grader as well. | if it wasn't for this guy, i would have had no idea what was going on in lecture. explains the material way better than van heuvelen did... really he should just teach the whole thing... | This guy is excellent. He explains the material very clearly, and in a way that students can understand. He is very helpful and responsive to student questions. Take him if you can. Nice guy, good professor. | The guy called a question A Different Beast!! in his awesome accent of his in class....that alone gives him a 5 | most impossible exams given...practice exams are so easy compared to the ones he gives."
"Wakim, David","Nice & gave good advice. Made the lecture easy to understand. Exam is long & hard. He cut each PA by half compared to Fall. Made it half as much work due to class is half the time. Midterm was 3 hours and final was 4 hours; code(20-30%), mc(20%), short answers (30-45%), and long answers (6 sentence) (15-20%). The average was around 60 to 70%."
