Year,Semester,Course Code,Course Name
Freshman,Fall,160:159,General Chemistry for Engineers
Freshman,Fall,160:171,Intro to Experimentation
Freshman,Fall,355:101,Expository Writing
Freshman,Fall,440:101,Intro Engineering - ID3EA I
Freshman,Fall,640:151,Calculus I
Freshman,Fall,750:123,Analytical Physics IA
Freshman,Fall,Humanities Elective,Humanities/Social Science Elective
Freshman,Spring,160:160,General Chemistry for Engineers
Freshman,Spring,440:102,Intro Engineering - ID3EA II
Freshman,Spring,440:221,Engineering Mechanics (Statics)
Freshman,Spring,640:152,Calculus II
Freshman,Spring,750:124,Analytical Physics IB
Sophomore,Fall,440:222,Engineering Mechanics (Dynamics)
Sophomore,Fall,540:343,Engineering Economics
Sophomore,Fall,640:251,Multivariable Calculus
Sophomore,Fall,650:210,Intro to Aerospace Engineering
Sophomore,Fall,750:227,Analytical Physics IIA
Sophomore,Fall,750:229,Analytical Physics IIA Lab
Sophomore,Fall,650:291,Mechanics of Materials
Sophomore,Spring,650:388,CAD in MAE
Sophomore,Spring,650:361,Mechatronics
Sophomore,Spring,650:351,Thermodynamics
Sophomore,Spring,650:291,Mechanics of Materials
Sophomore,Spring,650:388,CAD in MAE
Junior,Fall,640:421,Advanced Calculus
Junior,Fall,650:312,Fluid Mechanics
Junior,Fall,650:342,Design of Mechanical Components
Junior,Fall,650:401,Dynamic Systems & Controls
Junior,Fall,650:350,MAE Measurements
Junior,Fall,650:449,Aerospace Materials
Junior,Fall,650:458,Aerospace Structures
Junior,Spring,650:460,Aerodynamics
Junior,Spring,650:471,Aircraft Flight Dynamics
Junior,Spring,Humanities Elective,Humanities/Social Science Elective
Junior,Spring,Technical Elective,Technical Elective
Senior,Fall,650:431,MAE Lab I
Senior,Fall,650:439,Multiphysics Simulations
Senior,Fall,650:457,Spacecraft Mission Design
Senior,Fall,650:465,Orbital Mechanics
Senior,Fall,650:487,Aerospace Design Project I
Senior,Spring,650:433,AE Lab
Senior,Spring,650:459,Aerospace Propulsion
Senior,Spring,650:463,Compressible Fluid Dynamics
Senior,Spring,650:488,Aerospace Design Project II
