Year,Semester,Course Code,Course Name
Freshman,Fall,160:159,General Chemistry for Engineers
Freshman,Fall,160:171,Intro to Experimentation
Freshman,Fall,355:101,Expository Writing
Freshman,Fall,440:100,Engineering Orientation
Freshman,Fall,640:151,Calculus I
Freshman,Fall,750:123,Analytical Physics IA
Freshman,Fall,Humanities Elective,Humanities/Social Science Elective
Freshman,Spring,160:160,General Chemistry for Engineers
Freshman,Spring,440:127,Intro to Computers for Engineers
Freshman,Spring,440:221,Engineering Mechanics (Statics)
Freshman,Spring,640:152,Calculus II
Freshman,Spring,750:124,Analytical Physics IB
Sophomore,Fall,332:231,Digital Logic Design
Sophomore,Fall,332:252,Programming Methodology I
Sophomore,Fall,640:244,Differential Equations
Sophomore,Fall,332:271,Electrical Circuits
Sophomore,Fall,332:273,Electromagnetic Fields
Sophomore,Fall,332:222,Electronics I
Sophomore,Fall,750:227,Analytical Physics IIA
Sophomore,Spring,332:351,Power Electronics
Sophomore,Spring,750:228,Analytical Physics IIB
Sophomore,Spring,750:229,Analytical Physics IIA Lab
Sophomore,Spring,750:230,Analytical Physics IIB Lab
Sophomore,Spring,332:366,Control Systems
Junior,Fall,332:475,Renewable Energy Systems
Junior,Fall,332:373,Elements of Electrical Engineering
Junior,Fall,332:314,Embedded Systems
Junior,Fall,332:346,Signals and Systems
Junior,Fall,332:489,Digital Signal Processing
Junior,Fall,332:351,Microprocessors
Junior,Fall,332:466,Machine Learning for Engineers
Junior,Spring,Technical Elective,Technical Elective
Junior,Spring,Technical Elective,Technical Elective
Junior,Spring,General Elective,General Elective
Junior,Spring,General Elective,General Elective
Senior,Fall,332:491,Capstone Design I
Senior,Fall,332:492,Capstone Design II
Senior,Fall,332:482,Cybersecurity
Senior,Fall,332:4XX,Department Elective
Senior,Fall,Humanities Elective,Humanities/Social Science Elective
Senior,Spring,332:401,System Design
Senior,Spring,332:468,Software Engineering
Senior,Spring,332:4XX,Department Elective
Senior,Spring,Technical Elective,Technical Elective
