RMP_Link,Real_Name,RMP_Name,Match Status
https://www.ratemyprofessors.com/professor/445220,Geeta Govindarajoo,Geeta Govindarajoo,good
https://www.ratemyprofessors.com/professor/2540207,Leslie Jimenez,Leslie Jimenez,good
https://www.ratemyprofessors.com/professor/681190,Robert Boikess,Robert Boikess,good
https://www.ratemyprofessors.com/professor/140636,Manese Rabeony,Manese Rabeony,good
https://www.ratemyprofessors.com/professor/485088,Lipika Roychowdhury,Lipika RoyChowdhury,bad
https://www.ratemyprofessors.com/professor/2263071,Sanhita Pramanik,Sanhita Pramanik,good
https://www.ratemyprofessors.com/professor/869385,Emmanuel Hove,Emmanuel Hove,good
https://www.ratemyprofessors.com/professor/3002879,Vandana Khurana,Vandana Khurana,good
https://www.ratemyprofessors.com/professor/2608810,Chandima Abeywickrama,Chandima Abeywickrama,good
https://www.ratemyprofessors.com/professor/795919,Harpal Sangari,Harpal Sangari,good
https://www.ratemyprofessors.com/professor/1684024,Francesca Guerra,Francesca Guerra,good
https://www.ratemyprofessors.com/professor/2995907,Seema Sahni,Seema Sahni,good
https://www.ratemyprofessors.com/professor/2530259,Gangotri Dey,Gangotri Dey,good
https://www.ratemyprofessors.com/professor/2538756,Paul Orbe,Paul Orbe,good
https://www.ratemyprofessors.com/professor/1837364,Bryan Langowski,Bryan Langowski,good
https://www.ratemyprofessors.com/professor/1783981,Anna Kornienko,Ana Kornienko,bad
https://www.ratemyprofessors.com/professor/794207,Robert Porcja,Bob Porjca,bad
https://www.ratemyprofessors.com/professor/2552189,Thomas Drwiega,Thomas Drwiega,good
https://www.ratemyprofessors.com/professor/81252,Paul Kimmel,Paul Kimmel,bad
https://www.ratemyprofessors.com/professor/2388824,Tatiana Fadeeva,Tatiana Fadeeva,good
https://www.ratemyprofessors.com/professor/1655953,Darrin York,Darrin York,good
https://www.ratemyprofessors.com/professor/1581379,Kiranjot Sethi,Kiranjot Sethi,good
https://www.ratemyprofessors.com/professor/1969299,Nirmala Shankar,Nirmala Shankar,good
https://www.ratemyprofessors.com/professor/801059,Michael Vitarelli,Michael Vitarelli,good
https://www.ratemyprofessors.com/professor/163383,Heinz Roth,Heinz Roth,good
https://www.ratemyprofessors.com/professor/496743,Ralf Warmuth,Ralf Warmuth,good
https://www.ratemyprofessors.com/professor/2738368,Hongmei Zhang,Hongmei Zhang,good
https://www.ratemyprofessors.com/professor/771912,Patrick O'Connor,Patrick O'Connor,good
https://www.ratemyprofessors.com/professor/1741856,Christine Altinis,Christine Altinis-Kiraz,bad
https://www.ratemyprofessors.com/professor/386752,John Taylor,John Taylor,good
https://www.ratemyprofessors.com/professor/293723,Lawrence Williams,Lawrence Williams,good
https://www.ratemyprofessors.com/professor/688179,Barbara Hinch,Jane Hinch,bad
https://www.ratemyprofessors.com/professor/470598,Gene Hall,Gene Hall,good
https://www.ratemyprofessors.com/professor/3046190,Yeunggyo Shin,YEUNG-GYO SHIN,bad
https://www.ratemyprofessors.com/professor/3066459,Mary Emenike,Mary Emenike,good
https://www.ratemyprofessors.com/professor/817024,Jeehiun Lee,J.K. Lee,bad
https://www.ratemyprofessors.com/professor/2669382,Zheng Shi,Zheng Shi,good
https://www.ratemyprofessors.com/professor/759964,Edward Arnold,Edward Arnold,good
https://www.ratemyprofessors.com/professor/2910339,Jayati Halder,Jayati Haldar,bad
https://www.ratemyprofessors.com/professor/2434310,Marc Muniz,Marc Muniz,good
https://www.ratemyprofessors.com/professor/2973530,Kim-Phuong Le,Kim-Phuong Le,good
https://www.ratemyprofessors.com/professor/2045275,Denise Cullerton,Denise Cullerton,good
https://www.ratemyprofessors.com/professor/2007888,Gerard Dismukes,Charles Dismukes,bad
https://www.ratemyprofessors.com/professor/1513199,Tewodros Asefa,Tewodros (Teddy) Asefa,bad
https://www.ratemyprofessors.com/professor/1285354,Martha Greenblatt,Martha Greenblatt,good
https://www.ratemyprofessors.com/professor/2805746,Kate Waldie,Kate Waldie,good
https://www.ratemyprofessors.com/professor/2360343,Mark Lipke,Mark Lipke,good
https://www.ratemyprofessors.com/professor/2906043,Remsing Richard,Richard Remsing,bad
https://www.ratemyprofessors.com/professor/3046190,Yeung-Gyo Shin,YEUNG-GYO SHIN,bad
https://www.ratemyprofessors.com/professor/2395062,Donna Bassolino,Donna Bassolino,bad
https://www.ratemyprofessors.com/professor/2434307,Rijo Urakath,Rijo Urakath,good
https://www.ratemyprofessors.com/professor/2449457,Jianyuan Zhang,Jianyuan Zhang,good
https://www.ratemyprofessors.com/professor/2376199,Andrew Nieuwkoop,Andrew Nieuwkoop,good
https://www.ratemyprofessors.com/professor/2380978,Deirdre O'Carroll,Deirdre O'Carroll,good
https://www.ratemyprofessors.com/professor/2002589,David Case,David Case,bad
https://www.ratemyprofessors.com/professor/1797147,Sagar Khare,Sagar Khare,good
https://www.ratemyprofessors.com/professor/803231,Setareh Marvasti,Setareh Marvasti,good
https://www.ratemyprofessors.com/professor/106707,Spencer Knapp,Spencer Knapp,good
https://www.ratemyprofessors.com/professor/3009063,Yuwei Gu,Yuwei Gu,good
https://www.ratemyprofessors.com/professor/759964,Eddy Arnold,Edward Arnold,bad
https://www.ratemyprofessors.com/professor/2499037,KiBum Lee,Kibum Lee,bad
https://www.ratemyprofessors.com/professor/2486800,Enver Izgu,Enver Izgu,good
https://www.ratemyprofessors.com/professor/2906937,Rohan Khan,Rohan Khan,good
