RMP Link,Real Name,RMP Name,Match Status
https://www.ratemyprofessors.com/professor/2375218,Ilker Hacihaliloglu,Ilker Hacihaliloglu,good
https://www.ratemyprofessors.com/professor/749843,George Shoane,George Shoane,good
https://www.ratemyprofessors.com/professor/2458335,Biju Parekkadan,Biju Parekkadan,good
https://www.ratemyprofessors.com/professor/2417730,Kristen Labazzo,Kristen Labazzo,good
https://www.ratemyprofessors.com/professor/2001111,Mark Pierce,Mark Pierce,good
https://www.ratemyprofessors.com/professor/1353008,Francois Berthiaume,Francois Berthiaume,good
https://www.ratemyprofessors.com/professor/309631,David Shreiber,David Shreiber,good
https://www.ratemyprofessors.com/professor/1275085,Gary Drzewiecki,Gary Drzewiecki,good
https://www.ratemyprofessors.com/professor/2375239,Jay Sy,Jay Sy,good
https://www.ratemyprofessors.com/professor/2686510,John Li,John McGarvey,bad
https://www.ratemyprofessors.com/professor/219886,William Craelius,William Bottega,bad
https://www.ratemyprofessors.com/professor/874785,Noshir Langrana,Noshir Langrana,good
https://www.ratemyprofessors.com/professor/841515,Li Cai,LI Cai,bad
https://www.ratemyprofessors.com/professor/2387479,Adam Gormley,Adam Gormley,good
https://www.ratemyprofessors.com/professor/949826,Jeffrey Zahn,Jeffrey Zahn,good
https://www.ratemyprofessors.com/professor/1056751,Helen Buettner,Helen Buettner,good
https://www.ratemyprofessors.com/professor/2408186,Karen Murray,Karen Schindler,bad
https://www.ratemyprofessors.com/professor/1082417,Maria Tomassone,Maria Silvina Tomassone,bad
https://www.ratemyprofessors.com/professor/836538,Ioannis Androulakis,Yannis Androulakis,bad
https://www.ratemyprofessors.com/professor/936256,Yee Chiew,Yee Chiew,good
https://www.ratemyprofessors.com/professor/588202,Benjamin Schuster,Benjamin Glasser,bad
https://www.ratemyprofessors.com/professor/123668,Haoran Zhang,Yanyong Zhang,bad
https://www.ratemyprofessors.com/professor/2286084,Alex Bertuccio,Alex Bertuccio,good
https://www.ratemyprofessors.com/professor/1963361,Rohit Ramachandran,Rohit Ramachandran,good
https://www.ratemyprofessors.com/professor/1876590,Fuat Celik,Fuat Celik,good
https://www.ratemyprofessors.com/professor/280494,Hani Nassif,Hanni Nassif,bad
https://www.ratemyprofessors.com/professor/2831122,Alfred Brenner,Al Brenner,bad
https://www.ratemyprofessors.com/professor/816001,Yook-Kong Yong,Yook-Kong Yong,good
https://www.ratemyprofessors.com/professor/951373,Monica Mazurek,Monica Mazurek,good
https://www.ratemyprofessors.com/professor/1902665,Nicole Fahrenfeld,Nicole Fahrenfeld,good
https://www.ratemyprofessors.com/professor/2584313,Jie Gong,Jie Gao,bad
https://www.ratemyprofessors.com/professor/3058081,Mohamed Arafa,Mohamed Bahri,bad
https://www.ratemyprofessors.com/professor/2228137,Franklin Moon,Franklin Moon,good
https://www.ratemyprofessors.com/professor/2217093,Robert Miskewitz,Robert Miskewitz,good
https://www.ratemyprofessors.com/professor/1584183,Jin Jing,Bocheng Jin,bad
https://www.ratemyprofessors.com/professor/2254249,Ali Maher,Ali Ghofrani,bad
https://www.ratemyprofessors.com/professor/1882932,Hana Godrich,Hana Godrich,good
https://www.ratemyprofessors.com/professor/115807,Richard Mammone,Richard Mammone,good
https://www.ratemyprofessors.com/professor/347940,Michael Caggiano,Michael Caggiano,good
https://www.ratemyprofessors.com/professor/1828988,Athina Petropulu,Athina Petropulu,good
https://www.ratemyprofessors.com/professor/347941,Grigore Burdea,Grigore Burdea,good
https://www.ratemyprofessors.com/professor/346949,Sophocles Orfanidis,Sophocles Orfanidis,good
https://www.ratemyprofessors.com/professor/2187738,Anand Sarwate,Anand Sarwate,good
https://www.ratemyprofessors.com/professor/2091220,Mehdi Javanmard,Mehdi Javanmard,good
https://www.ratemyprofessors.com/professor/1743941,Sehajpal Sumati,Sumati Sehajpal,bad
https://www.ratemyprofessors.com/professor/2686510,McGarvey John,John McGarvey,bad
https://www.ratemyprofessors.com/professor/347939,Zoran Gajic,Zoran Gajic,good
https://www.ratemyprofessors.com/professor/1560601,Dario Pompili,Dario Pompili,good
https://www.ratemyprofessors.com/professor/444666,Wade Trappe,Wade Trappe,good
https://www.ratemyprofessors.com/professor/1338839,Yingying Chen,Yuan-Ping Chen,bad
https://www.ratemyprofessors.com/professor/2495722,Umer Hassan,UMER HASSAN,bad
https://www.ratemyprofessors.com/professor/236267,Predrag Spasojevic,Predrag Spasojevic,good
https://www.ratemyprofessors.com/professor/1721558,Waheed Uz Zaman Bajwa,Waheed Bajwa,bad
https://www.ratemyprofessors.com/professor/2177263,Striki Maria,Maria Striki,bad
https://www.ratemyprofessors.com/professor/490872,Ivan Marsic,Ivan Marsic,good
https://www.ratemyprofessors.com/professor/1897571,Laleh Najafizadeh,Laleh Najafizadeh,good
https://www.ratemyprofessors.com/professor/487012,Kristin Dana,Kristin Dana,good
https://www.ratemyprofessors.com/professor/2402572,Bo Yuan,Bo Yuan,good
https://www.ratemyprofessors.com/professor/1809951,Wu Chung-Tse,Weida WU,bad
https://www.ratemyprofessors.com/professor/2225933,Emina Soljanin,Emina Soljanin,good
https://www.ratemyprofessors.com/professor/2581253,Jorge Ortiz,Jorge Ortiz,good
https://www.ratemyprofessors.com/professor/2450036,Phillip Southard,Phillip Southard,good
https://www.ratemyprofessors.com/professor/2217766,Philip Brown,Philip Brown,good
https://www.ratemyprofessors.com/professor/2106403,Jean Patrick Antoine,Jean Patrick Antoine,good
https://www.ratemyprofessors.com/professor/331172,Mitsunori Denda,Mitch Denda,bad
https://www.ratemyprofessors.com/professor/2182765,Annalisa Scacchioli,Annalisa Scacchioli,good
https://www.ratemyprofessors.com/professor/826873,Kimberly Cook Chennault,Kimberly Cook-Chennault,bad
https://www.ratemyprofessors.com/professor/219886,William Bottega,William Bottega,good
https://www.ratemyprofessors.com/professor/359268,Thomas Matlock,Thomas Tsakalakos,bad
https://www.ratemyprofessors.com/professor/2550156,Harold Bennett,Harold Bennett,good
https://www.ratemyprofessors.com/professor/2756579,Won-Jong Rhee,Won-Jong Rhee,good
https://www.ratemyprofessors.com/professor/2236469,Martin Golden,Travers Martin,bad
https://www.ratemyprofessors.com/professor/2520645,Patricia Santos,Patricia Patricia McHugh,bad
https://www.ratemyprofessors.com/professor/2493753,Eric Rosenberg,Eric Rosenberg,good
https://www.ratemyprofessors.com/professor/2089972,Weihong Guo,Weihong Guo,good
https://www.ratemyprofessors.com/professor/2447836,Elin Wicks,Elin Wicks,good
https://www.ratemyprofessors.com/professor/2460052,Zhimin Xi,Zhimin Xi,good
https://www.ratemyprofessors.com/professor/907863,Mohsen Jafari,Mohsen Jafari,good
https://www.ratemyprofessors.com/professor/195685,Susan Albin,Susan Albin,good
https://www.ratemyprofessors.com/professor/195684,Tugrul Ozel,Tugrul Ozel,good
https://www.ratemyprofessors.com/professor/195686,E Elsayed,Elsayed A. Elsayed,bad
https://www.ratemyprofessors.com/professor/1747152,Laura Fabris,Laura Fabris,good
