RMP_Link,Real_Name,RMP_Name,Match Status
https://www.ratemyprofessors.com/professor/1383581,Sandra Burns,Sandy Burns,bad
https://www.ratemyprofessors.com/professor/1821734,Saiju Patel,Saiju Patel,good
https://www.ratemyprofessors.com/professor/1887551,Sharon Schwartz,Sharon Schwartz,good
https://www.ratemyprofessors.com/professor/2546158,James Perkowski,James Perkowski,good
https://www.ratemyprofessors.com/professor/75332,Eliot Collins,Elliot Collins,bad
https://www.ratemyprofessors.com/professor/2530246,Alfred Romano,Alfred Romano,good
https://www.ratemyprofessors.com/professor/1829456,Arun Mukherjee,Arun Mukherjee,good
https://www.ratemyprofessors.com/professor/2628512,Noopur Khosla,Noopur Khosla,good
https://www.ratemyprofessors.com/professor/2423081,Ghassan Nazi,Ghassan Nazi,good
https://www.ratemyprofessors.com/professor/739067,Steven Safran,Steve Safran,bad
https://www.ratemyprofessors.com/professor/1679982,Krista Benedict,Krista Benedict,good
https://www.ratemyprofessors.com/professor/2514518,Denise Lopes,Denise Lopes,good
https://www.ratemyprofessors.com/professor/2515558,Sofia Vaksman,Sofia Vaksman,good
https://www.ratemyprofessors.com/professor/2064652,Cecilia Arias,Cecilia Arias,good
https://www.ratemyprofessors.com/professor/2519365,Arianne Ross,Arianne Ross,good
https://www.ratemyprofessors.com/professor/2256618,Cynthia Roemer,Cynthia Roemer,good
https://www.ratemyprofessors.com/professor/2513423,Emily Sergel,Emily Sergel,good
https://www.ratemyprofessors.com/professor/2425103,Deborah Sherwood,Deborah Sherwood,good
https://www.ratemyprofessors.com/professor/2183261,Sacha Forgoston,Sacha Forgoston,good
https://www.ratemyprofessors.com/professor/1475911,Melissa Lieberman,Melissa Lieberman,good
https://www.ratemyprofessors.com/professor/145732,Robert Beals,Michael Beals,bad
https://www.ratemyprofessors.com/professor/244619,Rita Kinkhabwala,Rita Kinkhabwala,good
https://www.ratemyprofessors.com/professor/2737650,Gabriela Sprague,Gabriela Sprague,good
https://www.ratemyprofessors.com/professor/2101371,Jeffrey Schwarz,Jeffrey Schwarz,good
https://www.ratemyprofessors.com/professor/2757762,Sally Mulvey,Sally Mulvery,bad
https://www.ratemyprofessors.com/professor/2643357,Diane Morehead,Diane Morehead,good
https://www.ratemyprofessors.com/professor/2636330,Dhansukh Patel,Dhansukh Patel,good
https://www.ratemyprofessors.com/professor/646508,James Amodio,James Amodio,good
https://www.ratemyprofessors.com/professor/2561925,Laura Unger,Laura Unger,good
https://www.ratemyprofessors.com/professor/2256970,Geraldine Cochran,Geraldine Cochran,good
https://www.ratemyprofessors.com/professor/859214,David Scheiman,David Scheiman,good
https://www.ratemyprofessors.com/professor/2511570,Joseph Frankie,Joseph Frankie,good
https://www.ratemyprofessors.com/professor/1095905,Lewis Hirsch,Lew Hirsch,bad
https://www.ratemyprofessors.com/professor/2530432,Michael Menke,Michael Menke,good
https://www.ratemyprofessors.com/professor/2699414,Rasha Abadir,Rasha Abadir,good
https://www.ratemyprofessors.com/professor/2516745,Sheila Tabanli,Sheila Tabanli,good
https://www.ratemyprofessors.com/professor/2934972,Anthony D'Alesandro,Anthony D’Alesandro,bad
https://www.ratemyprofessors.com/professor/2256203,Joseph Guadagni,Joseph Guadagni,good
https://www.ratemyprofessors.com/professor/2938544,Harold Ning,Harold Ning,bad
https://www.ratemyprofessors.com/professor/1470959,Toby Grier,Toby Grier,good
https://www.ratemyprofessors.com/professor/2265715,Fatemeh Hafizi,Fatemeh Hafizi,good
https://www.ratemyprofessors.com/professor/1989803,Grigor Sargsyan,Grigor Sargsyan,good
https://www.ratemyprofessors.com/professor/2557389,Bernadette Cooney,Bernadette Cooney,good
https://www.ratemyprofessors.com/professor/2031892,Matthew Charnley,Matthew Charnley,good
https://www.ratemyprofessors.com/professor/2140771,Banmali Banerjee,Banmali Banerjee,good
https://www.ratemyprofessors.com/professor/1868730,Lasantha Goonetilleke,Lasantha Goonetilleke,good
https://www.ratemyprofessors.com/professor/2530429,Kristen Hendricks,Kristen Hendricks,good
https://www.ratemyprofessors.com/professor/681017,Kevin Noone,Kevin Noone,good
https://www.ratemyprofessors.com/professor/210274,Sara Soffer,Sara Soffer,good
https://www.ratemyprofessors.com/professor/1640140,Diana Bahri Nunziante,Diana Bahri Nunziante,bad
https://www.ratemyprofessors.com/professor/2893554,Roger O'Halloran,Roger O'Halloran,bad
