Geeta Govindarajoo,"Professor Govindarajoo's chemistry courses are frequently criticized for excessive busywork and a disorganized structure, with many students feeling the workload is disproportionate to the credit hours. While some find the lab component interesting and the open-note exams helpful,  most students report that lectures are unhelpful, requiring significant independent study from the textbook, and that the professor is unresponsive to student concerns."
Leslie Jimenez,"Professor Jimenez's teaching style is widely criticized as ineffective, with many students reporting they had to teach themselves the material due to her reliance on slides and lack of explanation. While her exams are considered easier than other professors', her poor communication (unresponsive emails) and grading practices caused significant student frustration."
Robert Boikess,"Professor Boikess's organic chemistry course is consistently described as extremely challenging, with many students reporting they essentially teach themselves the material due to his ineffective lectures, which are primarily verbal with minimal visuals.  While he is sometimes praised for his availability and willingness to help students who actively seek assistance, the difficulty of his exams and his grading system are major points of criticism.  Despite the harsh grading, a curve is applied, and utilizing practice exams and the textbook are vital for success."
Manese Rabeony,"Professor Rabeony is a highly-rated chemistry professor known for his engaging and humorous teaching style, though some find his lectures somewhat disorganized.  He provides ample practice materials, including practice exams very similar to the actual exams, which significantly aid student success. While the course material itself is considered challenging, his dedication to student learning and helpful approach make him a popular choice."
Lipika Roychowdhury,"Professor Roychowdhury's teaching effectiveness is a point of contention among students. While many appreciate her thorough lectures, ample practice problems, and availability for help, others find her lectures boring, too fast-paced, and lacking engagement.  Success in her class often requires significant self-study and independent practice, regardless of lecture attendance."
Sanhita Pramanik,"Professor Pramanik's lectures are frequently described as confusing and rushed, making it difficult for students to follow along and understand the material. While she is knowledgeable and offers a curve, her unapproachable demeanor and lack of responsiveness to student questions are major concerns.  Students consistently reported needing to teach themselves the material to succeed in her classes."
Emmanuel Hove,"Professor Hove is widely considered a highly knowledgeable chemist but a poor instructor.  Students report his lectures are unhelpful, fast-paced, and frequently off-topic, requiring extensive self-study to succeed. While some appreciate his humor and engagement, many find him condescending and unhelpful when answering questions."
Vandana Khurana,"Professor Khurana is a highly-rated teaching assistant known for her clear explanations, effective time management, and fair, recitation-based quizzes.  Students consistently praise her teaching ability and recommend her highly."
Chandima Abeywickrama,"Professor Abeywickrama is widely criticized for poor teaching methods, including unclear explanations, rushed pacing, and an unsupportive classroom environment.  Students report feeling targeted and unheard, recommending avoiding her classes if possible.  Her lectures are described as inadequate, leaving students to learn the material independently."
Harpal Sangari,"Professor Sangari is a highly-rated recitation instructor for chemistry, praised for his in-depth explanations and exam preparation strategies. While some students found his accent and fast pace challenging, many others credited him with significantly improving their understanding of the material and ultimately helping them succeed in the course."
Francesca Guerra,"Professor Guerra is a kind and helpful professor who is passionate about chemistry, but her lectures are often criticized for being fast-paced, disorganized, and difficult to understand due to her accent and teaching style.  Students consistently recommend supplementing her lectures with the textbook and other resources for success in the course, emphasizing the importance of self-study.  While readily available during office hours, her in-class instruction frequently leaves students feeling unprepared for exams."
Seema Sahni,"Professor Sahni is a well-liked professor known for her positive attitude and care for students, although some find her lectures lengthy and explanations occasionally unclear.  While the course material is challenging, her numerous practice problems and helpful recitations aid student success, making her a recommended instructor despite the inherent difficulty of the subject."
Gangotri Dey,"Professor Dey's teaching effectiveness is a mixed bag; some students found her recitations boring and difficult to understand, while others appreciated her caring nature, accessibility, and helpful explanations that clarified course material.  Her ability to effectively explain concepts and generate student interest appears to be inconsistent across different experiences."
Paul Orbe,"Professor Orbe's chemistry lab course is demanding but rewarding; while he has high expectations, he genuinely cares about student success and is willing to help those who put in the effort.  Students consistently praise his engaging teaching style and find the class time flies by."
Bryan Langowski,"Professor Langowski is widely considered the best chemistry professor at Rutgers, praised for his clear explanations, detailed lectures, and helpful office hours.  While students agree the course material is challenging,  many feel Langowski's teaching significantly improves their understanding and chances of success, even recommending his lectures to students in other professors' sections.  However, some critiques mention his occasional condescension and irrelevant lecture details."
Anna Kornienko,"Professor Kornienko's teaching effectiveness is highly debated, with some students finding her lectures unclear due to a thick accent and rapid pace, while others appreciated her helpfulness during office hours and review sessions.  Many emphasized the need for substantial self-study to succeed in her class, regardless of lecture attendance,  with the consensus being that while she is kind and caring, her teaching style may not suit all learning preferences."
Robert Porcja,"Professor Porcja is praised for his clear explanations, helpfulness, and engaging teaching style, often employing analogies and a step-by-step approach. While some found his personality eccentric or overly confident,  students consistently highlighted his dedication to student success and his effectiveness in making challenging chemistry concepts understandable."
Thomas Drwiega,"Students overwhelmingly praise Professor Drwiega's organized teaching style and helpful online recitations, describing his approach as easy to follow and conducive to both in-class learning and later studying.  His relaxed recitation format, featuring simple poll questions, was also appreciated."
Paul Kimmel,"Professor Kimmel's teaching style is polarizing; while some students appreciate his detailed notes and exam reviews, many find his lectures disorganized, fast-paced, and difficult to understand, citing his mumbling and unapproachable demeanor.  Despite criticism of his teaching methods, many agree he is knowledgeable and cares about student success, recommending attending his office hours and utilizing his provided resources."
Tatiana Fadeeva,"Professor Fadeeva is a kind and helpful professor who provides ample practice problems and review materials, but her lectures are often criticized for being fast-paced, disorganized, and difficult to understand due to a heavy accent.  While students appreciate her willingness to help during office hours and her fair grading, many recommend supplementing her lectures with additional resources to fully grasp the material."
Darrin York,"Professor York is praised for his caring nature and dedication to student success, offering extensive support and resources, including extra office hours. However,  many students find his lectures confusing and unhelpful, requiring significant independent study to succeed, with some suggesting his exams are more logic-based than typical for general chemistry.  His teaching style is divisive, with some finding him engaging and others describing him as a poor lecturer."
Kiranjot Sethi,"Professor Sethi is considered one of the best organic chemistry professors at Rutgers, praised for her detailed slides, numerous practice problems mirroring exam questions, and helpful office hours.  While some students found her lectures fast-paced and disorganized, many appreciated her dedication to student success and willingness to answer questions, ultimately highlighting the importance of consistent effort and engagement to succeed in her challenging course."
Nirmala Shankar,"Professor Shankar is praised for her accessibility, helpfulness during office hours, and providing ample extra credit opportunities,  though her exams are often considered difficult.  Student opinions are divided on her teaching style, with some finding her clear and engaging, while others describe her as rushed and lacking in explanation."
Michael Vitarelli,"Professor Vitarelli's chemistry lab course is primarily taught by teaching assistants (TAs), with Vitarelli's involvement limited to online lab videos and occasional email communication.  While students consistently praise the TAs for their helpfulness and effective instruction, opinions on Vitarelli himself are mixed, ranging from positive feedback regarding his approachability and clarity to criticisms of his teaching style and grading.  The course is generally considered an easy A, but requires consistent effort on lab assignments."
Heinz Roth,"Professor Roth's organic chemistry course is considered by many students to be extremely challenging, with difficult exams and low average scores. While some appreciate his humor and availability during office hours,  most find his lectures disorganized and unhelpful, requiring significant self-study from the textbook and other resources to succeed.  Despite generous curving, many students report feeling the need to teach themselves the material."
Ralf Warmuth,"Professor Warmuth is a helpful and kind professor who is highly responsive to student emails and readily assists with questions.  While praised for detailed notes and clear explanations of material on exams, his lectures are often criticized for being difficult to understand due to his accent and teaching style, with some students finding them unhelpful or boring.  Despite this, many students appreciate his dedication to helping them succeed in the challenging organic chemistry course."
Hongmei Zhang,"Professor Zhang is a kind and approachable professor who cares about her students' success, but her lectures are often difficult to follow and her explanations unclear.  Students report needing to rely heavily on the textbook and independent study to succeed in her class."
