Frances Trees,"Professor Trees' teaching style is described as both helpful and challenging.  While students appreciate her availability and willingness to assist, many find her lectures fast-paced, lacking in depth, and sometimes confusing, especially for beginners.  Overall, success in her class requires consistent effort and supplemental learning resources."
Alan Belowich,"Professor Belowich is a generally well-liked professor known for his helpfulness and willingness to assist students, offering numerous extra credit opportunities and a forgiving grading policy including exam retakes. While some find his lectures unengaging or the workload substantial, many students report achieving high grades with moderate effort, particularly if they actively participate in recitations and utilize provided study guides."
Jt Chirco,"Professor Chirco's CS 110 course is considered easy by many, particularly the latter portion using Scratch, though some found the initial material challenging.  While praised for his knowledge, caring attitude, and generous extra credit/retake policies, negative reviews cite poor explanations, inflexibility, and communication issues with TAs."
Centeno Ana Paula,"Professor Centeno is a highly-rated professor known for her engaging teaching style, ample extra credit opportunities, and dedication to student success. While some students found her lectures occasionally digressive or slow-paced, many praised her clear explanations, helpful office hours, and the overall ease of achieving a good grade in her courses, particularly CS111 and CS112."
Ananda Gunawardena,"Professor Gunawardena is a well-liked professor known for his approachable personality and enthusiasm for teaching, though his organization and lecture clarity are frequently criticized.  Students appreciate his leniency in grading and the engaging nature of his projects and labs, but find inconsistencies in his teaching and grading rubrics.  While many students learn a great deal from the course, they often need to supplement his lectures with independent study."
Juan Zhai,"Professor Zhai is a knowledgeable instructor whose lectures are sometimes criticized for being boring and difficult to understand due to a thick accent. While some students found her teaching style effective and appreciated her willingness to help, many others struggled to follow her lectures and suggested seeking alternative instructors if possible."
David Menendez,"Professor Menendez is knowledgeable and passionate about computer science, but his courses are often criticized for disorganization and inconsistent grading, particularly regarding projects and timely feedback.  While he offers generous curves and his exams are considered fair, students report that lectures can be dry, and he is sometimes unresponsive to emails, requiring students to attend office hours for assistance.  Despite these drawbacks, many students appreciate the challenging yet valuable content."
Seshadri Venugopal,"Professor Venugopal's classes are consistently described as challenging but rewarding, pushing students to become better coders.  While lectures are sometimes criticized as dense or boring, the projects and material are considered highly practical and useful for future software engineering careers.  However, his exams are frequently cited as difficult, and some students express concerns about grading and lack of communication."
Guillermo Fuentes,"Professor Fuentes is overwhelmingly criticized for his ineffective and often incomprehensible lectures, marked by a strong accent, rapid pace, and disengagement from students.  While considered a kind and helpful person during office hours, his teaching style necessitates significant self-study and reliance on TAs and supplementary materials to succeed in the course.  Despite the challenging lectures, the course itself is deemed manageable with consistent effort and utilization of available resources."
Konstantinos Michmizos,"Professor Michmizos is a highly-rated professor known for his engaging teaching style, genuine care for student success, and helpful availability.  While his quizzes are considered difficult,  he offers substantial extra credit and curves grades significantly, making the course manageable despite its challenging nature."
Santosh Nagarakatte,"Professor Nagarakatte is a highly demanding but effective instructor whose course, while significantly harder than others, provides a deep understanding of computer architecture.  He is praised for his engaging lectures and genuine care for student success, offering numerous extensions and extra credit opportunities, though some students find his assignments excessively challenging and his grading criteria unclear.  Despite the difficulty, many students report significant learning gains and improved programming skills."
Daniel Hidalgo,"Professor Hidalgo's lectures are considered helpful and contribute significantly to student understanding of course concepts, even if he doesn't lead the course itself.  His teaching is generally well-regarded."
William Steiger,"Professor Steiger's teaching style is described as both engaging and challenging, with some students praising his enthusiasm and knowledge while others criticize his disorganized lectures and difficult exams.  His grading is perceived as tough and heavily weighted towards exams, leading to significant variability in student outcomes, although he is generally considered fair and helpful during office hours.  While many students learned a considerable amount from his classes, the lack of a textbook and the difficulty of the material resulted in some students needing to repeat the course."
Daniel Balouek-Thomert,"Professor Balouek-Thomert is praised for his dynamic teaching style, clear explanations, and helpful office hours, fostering a comfortable learning environment.  While he assigns substantial homework and projects utilizing valuable industry tools, students consistently report high learning gains and appreciate his career advice.  His quick grading and readily available resources contribute to a positive overall experience."
Antonio Miranda Garcia,"Professor Miranda Garcia is a polarizing figure, with some students praising his clear lectures and fair assessments while others strongly criticize his lack of communication and responsiveness.  His grading is consistently cited as extremely slow and infrequent, leading to significant student frustration, and many report difficulties reaching him via email or office hours."
Sepehr Assadi,"Professor Assadi is a highly-rated professor known for his caring and accommodating teaching style, clear lectures and notes, and challenging yet fair assessments.  He actively seeks student feedback to improve his courses and offers ample support through office hours and extra credit opportunities, ultimately striving to ensure student success."
Lily Chang,"Professor Chang's data structures course features lengthy, challenging group projects that, while substantial, are considered doable with a reliable partner.  However,  her exams are consistently criticized as extremely difficult, focusing heavily on memorization of detailed lecture notes rather than practical application, leading to low average scores.  While she is generally considered kind and helpful in office hours, her lectures are frequently described as boring and ineffective, with many students finding online resources more beneficial."
Desheng Zhang,"Professor Zhang's courses are considered easy to get a good grade in, with straightforward exams and readily available online resources for homework.  However, many students found his lectures boring and unengaging, citing repetitive content and poor slide quality, along with vague project instructions and an excessive number of pop quizzes.  While some appreciated his helpfulness and clear explanations, others criticized his heavy accent and grading inconsistencies."
Badri Nath,"Professor Badri Nath's teaching effectiveness is divisive.  While praised for fair grading, helpful in-person assistance, and engaging lectures (though sometimes dry or confusing), he is heavily criticized for poor communication, infrequent email responses, and unclear assignment instructions.  Many students found his course challenging but ultimately fair, though the lack of responsiveness was a significant concern."
Paul Krzyzanowski,"Professor Krzyzanowski is praised for his well-structured lectures, concise notes, and generous grading, which often includes dropping the lowest exam score.  While his three-hour lectures are sometimes criticized as monotonous, students consistently highlight the wealth of resources provided and the overall ease of achieving a good grade.  Many students found the material engaging and relevant to their field, leading to strong recommendations for his courses."
