Ilker Hacihaliloglu,"Professor Hacihaliloglu is praised for his clear, concise, and engaging teaching style, making complex material understandable.  Students appreciate his helpfulness and willingness to assist with both coursework and broader inquiries, highlighting him as a top Biomedical Engineering professor at Rutgers."
George Shoane,"Professor Shoane is overwhelmingly considered a terrible professor whose classes are exceptionally difficult and lead to very low average grades, necessitating a significant curve.  Students report his lectures are unhelpful, requiring extensive memorization from a costly, poorly organized textbook, and his exams are extremely challenging."
Biju Parekkadan,"Professor Parekkadan is a brilliant but challenging instructor whose teaching style and exam difficulty are polarizing. While appreciated for his patience, willingness to adapt, and generous curving,  students criticize his unclear lectures, difficult assessments, and inconsistent grading policies."
Kristen Labazzo,"Professor Labazzo is a highly-rated professor praised for her caring demeanor, fair grading, and helpfulness towards students.  While the course material may be challenging, her detailed slides, engaging teaching style, and willingness to assist students contribute to a positive learning experience.  Students consistently highlight her approachability and dedication to their success."
Mark Pierce,"Professor Pierce is praised for clear lectures, fair exams aligned with course material, and helpful office hours, making the course manageable with dedicated effort.  However, some students criticize his lack of feedback on exams and perceived unfair grading, particularly impacting students with attendance issues or needing additional support.  His grading is considered tough but fair by many, rewarding those who actively participate and prepare."
Francois Berthiaume,"Professor Berthiaume's lectures are considered dry and monotonous by many students, leading to difficulty in understanding the material despite the provided homework and quizzes.  While he attempts to organize online content and curves grades, his exams are notoriously difficult and the overall course is deemed challenging and unengaging."
David Shreiber,"Professor Schreiber is considered an engaging and passionate lecturer who cares about student learning, though his grading can be perceived as strict.  While some find the workload heavy and the exams challenging, the overall consensus is positive, praising his helpfulness and the valuable experience gained from his class, particularly the term project.  A few students expressed concerns about grading fairness."
Gary Drzewiecki,"Professor Drzewiecki is described as a very nice and helpful person, but his teaching effectiveness is frequently criticized as unclear, unengaging, and ultimately unhelpful in learning the course material. While some found his labs and exams easy, many students reported needing to teach themselves the material from the textbook to succeed in his classes."
Jay Sy,"Professor Sy is a knowledgeable and engaging lecturer who emphasizes a rigorous engineering design process, but his course workload is exceptionally demanding and the grading is considered harsh, especially relative to other similar courses.  Students learn a great deal, but the high volume of work may outweigh the benefits for some."
William Craelius,"Professor Craelius's teaching style is highly divisive, with some students praising his laid-back approach and helpful one-on-one interaction, while others strongly criticize his disorganized lectures, unclear assignments, and poor time management.  His Simulink-based courses are frequently cited as requiring significant independent learning and outside research."
Noshir Langrana,"Professor Langrana's teaching style is polarizing, with some students finding him intimidating and unhelpful, while others appreciate his kindness, helpfulness, and clear exam preparation.  Although opinions vary widely,  many note his high expectations for students."
