John Hughes,"Professor Hughes' teaching effectiveness is highly variable, with some students praising his deep knowledge and helpfulness, while others criticize his grading inconsistencies, lack of guidance, and difficult exams.  Although he is described as a nice and approachable professor who offers extra credit and curves grades, many students found the workload substantial and the course challenging, particularly the iClicker quizzes and research paper.  Ultimately, success in his class depends on consistent effort and engagement with the course material."
Andres Jerez,"Professor Jerez's astronomy class is praised for its interesting content and his passion for the subject, but opinions diverge on the ease of the course.  While many appreciate his helpfulness and willingness to answer questions,  the exams are frequently criticized for being highly specific, requiring rote memorization rather than deep understanding, and significantly different from homework assignments.  Although homework is easy, achieving a high grade requires dedicated study and consistent class attendance."
Geraldine Cochran,"Professor Cochran is consistently praised for her dedication to student success, providing ample support, clear grading, and opportunities for improvement.  While the course involves significant workload and recitation is crucial,  students overwhelmingly appreciate her engaging teaching style, helpfulness, and willingness to adapt to student needs."
Amitabh Lath,"Professor Lath is a polarizing figure, with some students praising his passion for physics and ability to make complex concepts understandable, while others criticize his teaching style as rushed, unhelpful, and even condescending.  While he is described as knowledgeable and willing to help students who actively engage with the material, many found his exams difficult and felt he lacked empathy for students struggling with the subject matter."
Daniel Friedan,"Professor Friedan is praised for being approachable, helpful, and knowledgeable, though early teaching experiences were noted as less effective.  Students consistently highlight his approachability and the significant support he provides, leading to positive learning experiences.  While some found his early teaching style lacking,  his later instruction is described as greatly improved and effective."
Larry Zamick,"Professor Zamick is described as a kind and helpful professor who is fair in his grading,  though some students felt the course structure, not his teaching, prevented them from learning the material.  Ultimately, student opinions on the course and his effectiveness were highly divided."
Duiliu Diaconescu,"Professor Diaconescu is a kind and helpful professor with impressive research credentials, but his teaching is widely criticized as unclear and poorly connected to the exams.  While he offers a generous curve and extra credit opportunities, students consistently report struggling to understand the lectures and finding the exams difficult and unrelated to the material covered.  Despite these challenges, the significant curve often results in high grades."
Premala Chandra,"Professor Chandra is described as a caring and helpful professor who is highly praised for her recitation instruction and office hours availability, but her lecturing style is widely criticized as rushed, confusing, and ineffective, leading many students to rely on self-teaching. While students appreciate her kindness and willingness to assist,  many found her classroom management and teaching methods problematic, impacting their learning experience."
Willem Kloet,"Professor Kloet is praised for his kindness, clear explanations, and helpful demonstrations, though some students found his lectures challenging and his exams difficult despite a generous curve.  His online notes are considered comprehensive, and he's highly regarded for his approachability and willingness to help students succeed."
Michael Gentile,"Professor Gentile is a highly-rated professor known for his engaging teaching style, genuine care for students, and leniency in grading. While some students found the exams challenging and the course conceptually-focused rather than mathematically rigorous, many appreciated the numerous opportunities to boost their grade through participation and assignments.  His passion for physics and supportive teaching methods make him a popular choice, though pre-med students might consider other options due to the exam style."
